,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate
1248,1217,2500000000,Prayudh Mahagitsiri,77.0,Thailand,Bangkok,"Coffee, shipping",Food & Beverage,Thailand,False,M,1946-01-01 00:00:00
1249,1217,2500000000,Willy Michel,76.0,Switzerland,Burgdorf,Medical devices,Healthcare,Switzerland,True,M,1947-01-01 00:00:00
1250,1217,2500000000,Lachhman Das Mittal,92.0,India,Delhi,Tractors,Automotive,India,False,M,1930-11-05 00:00:00
1251,1217,2500000000,Bobby Murphy,34.0,United States,Venice,Snapchat,Technology,United States,True,M,1988-07-19 00:00:00
1252,1217,2500000000,Tomas Olivo Lopez,49.0,Spain,Marbella,Shopping centers,Real Estate,Spain,True,M,1974-01-01 00:00:00
1253,1217,2500000000,Eren Ozmen,64.0,United States,Reno,Aerospace,Manufacturing,United States,True,F,1958-09-03 00:00:00
1254,1217,2500000000,John Pritzker,69.0,United States,San Francisco,"Hotels, investments",Finance & Investments,United States,False,M,1953-08-10 00:00:00
1255,1217,2500000000,Qiu Minxiu,77.0,China,Shangyu,Semiconductors,Technology,China,True,F,1945-09-17 00:00:00
1256,1217,2500000000,Ferit Faik Sahenk,59.0,Turkey,Istanbul,Diversified,Diversified,Turkey,False,M,1964-03-18 00:00:00
1257,1217,2500000000,Wenrong Shen,77.0,China,Zhangjiagang,Steel production,Metals & Mining,China,True,M,1946-02-13 00:00:00
1258,1217,2500000000,Yuzhu Shi,60.0,China,Shanghai,"Online games, investments",Diversified,China,True,M,1962-09-01 00:00:00
1259,1217,2500000000,Jeff Sutton,63.0,United States,New York,Real estate,Real Estate,United States,True,M,1960-01-17 00:00:00
1260,1217,2500000000,"Henry Sy, Jr.",69.0,Philippines,Manila,Diversified,Diversified,Philippines,False,M,1954-01-01 00:00:00
1261,1217,2500000000,Andrew Tan,71.0,Philippines,Manila,Diversified,Diversified,Philippines,True,M,1952-02-01 00:00:00
1262,1217,2500000000,Arvind Tiku,53.0,Singapore,Singapore,"Oil & gas, investments",Energy,India,True,M,1970-02-22 00:00:00
1263,1217,2500000000,Byron Trott,64.0,United States,Winnetka,Investments,Finance & Investments,United States,True,M,1958-12-02 00:00:00
1264,1217,2500000000,Donald Trump,76.0,United States,Palm Beach,Real estate,Real Estate,United States,False,M,1946-06-14 00:00:00
1265,1217,2500000000,Peter Unger,78.0,Germany,Neustadt an der Waldnaab,Auto repair,Automotive,Germany,True,M,1944-08-20 00:00:00
1266,1217,2500000000,Roger Wang,74.0,China,Nanjing,Retail,Fashion & Retail,United States,True,M,1949-01-01 00:00:00
1267,1217,2500000000,Oprah Winfrey,69.0,United States,Montecito,TV shows,Media & Entertainment,United States,True,F,1954-01-29 00:00:00
1268,1217,2500000000,Wu Zhigang & family,88.0,China,Shenyang,Bakery chain,Food & Beverage,China,True,M,1935-01-14 00:00:00
1269,1217,2500000000,Xie Weitong,66.0,Singapore,,Cobalt,Metals & Mining,Taiwan,True,M,1957-01-01 00:00:00
1270,1217,2500000000,Ye Guofu,45.0,China,Guangzhou,Retail,Fashion & Retail,China,True,M,1978-01-01 00:00:00
1271,1272,2400000000,Brian Acton,51.0,United States,Palo Alto,WhatsApp,Technology,United States,True,M,1972-02-17 00:00:00
1272,1272,2400000000,Abdulla Al Futtaim & family,83.0,United Arab Emirates,Dubai,"Auto dealers, investments",Automotive,United Arab Emirates,False,M,1940-01-01 00:00:00
1273,1272,2400000000,Edward Bass,77.0,United States,Fort Worth,"Oil, investments",Energy,United States,False,M,1945-09-10 00:00:00
1274,1272,2400000000,Koos Bekker,70.0,South Africa,Cape Town,"Media, investments",Media & Entertainment,South Africa,True,M,1952-12-14 00:00:00
1275,1272,2400000000,Otto Philipp Braun,45.0,Germany,Melsungen,Medical technology,Healthcare,Germany,False,M,1978-01-01 00:00:00
1276,1272,2400000000,Chen Tei-fu,74.0,United States,Los Angeles,Herbal products,Fashion & Retail,Taiwan,True,M,1948-04-19 00:00:00
1277,1272,2400000000,Abilio dos Santos Diniz,86.0,Brazil,Sao Paulo,Retail,Fashion & Retail,Brazil,False,M,1936-12-28 00:00:00
1278,1272,2400000000,Marcel Erni,58.0,Switzerland,Zug,Private equity,Finance & Investments,Switzerland,True,M,1965-01-01 00:00:00
1279,1272,2400000000,Doris Fisher,91.0,United States,San Francisco,Gap,Fashion & Retail,United States,True,F,1931-08-23 00:00:00
1280,1272,2400000000,Gerald Ford,78.0,United States,Dallas,Banking,Finance & Investments,United States,True,M,1944-08-04 00:00:00
1281,1272,2400000000,Bernard Fraisse & family,66.0,France,Paris,Pharmaceuticals,Healthcare,France,True,M,1956-08-10 00:00:00
1282,1272,2400000000,Alfred Gantner,55.0,Switzerland,Zug,Private equity,Finance & Investments,Switzerland,True,M,1968-04-01 00:00:00
1283,1272,2400000000,Paul Gauselmann & family,88.0,Germany,Espelkamp,Gambling,Gambling & Casinos,Germany,True,M,1934-08-26 00:00:00
1284,1272,2400000000,Mitchell Goldhar,61.0,Canada,North York,Real estate,Real Estate,Canada,True,M,1961-07-15 00:00:00
1285,1272,2400000000,Peter Hargreaves,76.0,United Kingdom,Bristol,Financial services,Finance & Investments,United Kingdom,True,M,1946-10-05 00:00:00
1286,1272,2400000000,Xuande Hua & family,79.0,China,Taizhou,Pharmaceuticals,Healthcare,China,True,M,1943-10-30 00:00:00
1287,1272,2400000000,Kwek Leng Kee,68.0,Singapore,Singapore,Diversified,Diversified,Singapore,False,M,1955-01-01 00:00:00
1288,1272,2400000000,Catherine Lozick,77.0,United States,Fort Lauderdale,Valve manufacturing,Manufacturing,United States,False,F,1945-05-01 00:00:00
1289,1272,2400000000,Kalanithi Maran,57.0,India,Chennai,Media,Media & Entertainment,India,True,M,1965-07-26 00:00:00
1290,1272,2400000000,Jed McCaleb,48.0,United States,Berkeley,Cryptocurrency,Finance & Investments,United States,True,M,1975-01-01 00:00:00
1291,1272,2400000000,Fatih Ozmen,65.0,United States,Reno,Aerospace,Manufacturing,United States,True,M,1958-02-02 00:00:00
1292,1272,2400000000,Pan Laican,,China,foshan,Soy sauce,Food & Beverage,China,True,M,
1293,1272,2400000000,Tor Peterson,58.0,Switzerland,Zug,Commodities,Metals & Mining,United States,True,M,1964-08-07 00:00:00
1294,1272,2400000000,Daniel Pritzker,63.0,United States,Marin County,"Hotels, investments",Finance & Investments,United States,False,M,1959-09-15 00:00:00
1295,1272,2400000000,Jinxing Qi,61.0,China,Hangzhou,Real estate,Real Estate,China,True,M,1962-03-28 00:00:00
1296,1272,2400000000,Qiu Jianping & family,61.0,China,Hangzhou,Hand tools,Manufacturing,China,True,M,1962-01-28 00:00:00
1297,1272,2400000000,Rajan Raheja & family,68.0,India,Mumbai,Diversified,Diversified,India,False,M,1954-06-01 00:00:00
1298,1272,2400000000,Matthias Reinhart,63.0,Switzerland,Zurich,Financial services,Finance & Investments,Switzerland,True,M,1960-01-01 00:00:00
1299,1272,2400000000,Arnout Schuijff,55.0,Netherlands,Amsterdam,Payments software,Technology,Netherlands,True,M,1967-10-16 00:00:00
1300,1272,2400000000,Hans Sy,67.0,Philippines,Manila,Diversified,Diversified,Philippines,False,M,1955-09-29 00:00:00
1301,1272,2400000000,Herbert Sy,66.0,Philippines,Manila,Diversified,Diversified,Philippines,False,M,1956-10-01 00:00:00
1302,1272,2400000000,Lucio Tan,88.0,Philippines,Manila,Diversified,Diversified,Philippines,True,M,1934-07-17 00:00:00
1303,1272,2400000000,Tsai Ming-kai,72.0,Taiwan,Hsinchu,Semiconductors,Technology,Taiwan,True,M,1950-04-06 00:00:00
1304,1272,2400000000,Ted Turner,84.0,United States,Atlanta,Cable television,Media & Entertainment,United States,False,M,1938-11-19 00:00:00
1305,1272,2400000000,David Walentas,84.0,United States,New York,Real estate,Real Estate,United States,True,M,1938-08-07 00:00:00
1306,1272,2400000000,Urs Wietlisbach,61.0,Switzerland,Zug,Private equity,Finance & Investments,Switzerland,True,M,1961-08-25 00:00:00
1307,1272,2400000000,Jerry Yang,54.0,United States,Los Altos Hills,Yahoo,Technology,United States,True,M,1968-11-06 00:00:00
1308,1272,2400000000,Yang Jianliang & family,53.0,China,Wuxi,Machinery,Manufacturing,China,True,M,1969-06-01 00:00:00
1309,1272,2400000000,Yang Weidong & family,54.0,China,Jiaxing,Chemicals,Manufacturing,China,True,M,1968-09-09 00:00:00
1310,1272,2400000000,Mortimer Zuckerman,85.0,United States,New York,"Real estate, media",Real Estate,United States,True,M,1937-06-04 00:00:00
1311,1312,2300000000,John Armitage,63.0,United Kingdom,London,Hedge funds,Finance & Investments,Ireland,True,M,1959-12-01 00:00:00
1312,1312,2300000000,Lee Bass,66.0,United States,Fort Worth,"Oil, investments",Energy,United States,False,M,1956-05-24 00:00:00
1313,1312,2300000000,John Bicket,43.0,United States,San Francisco,Sensor systems,Technology,United States,True,M,1980-03-20 00:00:00
1314,1312,2300000000,Sanjit Biswas,41.0,United States,San Francisco,Sensor systems,Technology,United States,True,M,1982-01-12 00:00:00
1315,1312,2300000000,Timothy Boyle,73.0,United States,Portland,Columbia Sportswear,Fashion & Retail,United States,True,M,1949-09-07 00:00:00
1316,1312,2300000000,Morris Chang,91.0,Taiwan,Hsinchu,Semiconductors,Technology,Taiwan,True,M,1931-07-10 00:00:00
1317,1312,2300000000,Chao Teng-hsiung,78.0,Taiwan,Taipei,Real estate,Real Estate,Taiwan,True,M,1944-10-04 00:00:00
1318,1312,2300000000,Samuel Chen,73.0,,,Investments,Finance & Investments,Taiwan,True,M,1950-01-01 00:00:00
1319,1312,2300000000,Chu Lam Yiu,53.0,Hong Kong,Hong Kong,Flavorings,Manufacturing,Hong Kong,True,F,1969-12-01 00:00:00
1320,1312,2300000000,K. Dinesh,68.0,India,Bangalore,Software services,Technology,India,True,M,1954-06-06 00:00:00
1321,1312,2300000000,James Duff,62.0,United States,Hattiesburg,"Tires, diversified",Diversified,United States,True,M,1961-03-07 00:00:00
1322,1312,2300000000,Thomas Duff,66.0,United States,Hattiesburg,"Tires, diversified",Diversified,United States,True,M,1956-12-31 00:00:00
1323,1312,2300000000,Daniel Ek,40.0,Sweden,Stockholm,Spotify,Technology,Sweden,True,M,1983-02-21 00:00:00
1324,1312,2300000000,John Fisher,61.0,United States,San Francisco,Gap,Fashion & Retail,United States,False,M,1961-06-01 00:00:00
1325,1312,2300000000,Georg Haub,61.0,Germany,Berlin,Retail,Fashion & Retail,Germany,False,M,1962-01-01 00:00:00
1326,1312,2300000000,Erman Ilicak,55.0,Turkey,Ankara,Construction,Construction & Engineering,Turkey,True,M,1967-10-03 00:00:00
1327,1312,2300000000,Justin Ishbia,45.0,United States,Chicago,Private equity,Finance & Investments,United States,False,M,1977-09-18 00:00:00
1328,1312,2300000000,Long Jiang,49.0,China,Weifang,Manufacturing,Technology,China,True,M,1974-02-01 00:00:00
1329,1312,2300000000,Bruce Karsh,67.0,United States,Los Angeles,Private equity,Finance & Investments,United States,True,M,1955-10-10 00:00:00
1330,1312,2300000000,Bom Kim,44.0,South Korea,Seoul,Online retailing,Technology,United States,True,M,1978-10-01 00:00:00
1331,1312,2300000000,Jianping Lai,,China,Foshan,Soy sauce,Food & Beverage,China,True,M,
1332,1312,2300000000,Lam Kong,58.0,Hong Kong,Hong Kong,Pharmaceuticals,Healthcare,China,True,M,1964-06-15 00:00:00
1333,1312,2300000000,Stephen Lansdown,70.0,Guernsey,St. Peter Port,Financial services,Finance & Investments,Guernsey,True,M,1952-08-30 00:00:00
1334,1312,2300000000,Kevin David Lehmann,20.0,,,Drugstores,Fashion & Retail,Germany,False,M,2002-09-01 00:00:00
1335,1312,2300000000,Li Haiyan,,China,Chengdu,Restaurants,Food & Beverage,China,True,F,
1336,1312,2300000000,Hua Li,45.0,China,Shenzhen,Financial services,Finance & Investments,China,True,M,1978-01-01 00:00:00
1337,1312,2300000000,Lim Kok Thay,71.0,Malaysia,Kuala Lumpur,Casinos,Gambling & Casinos,Malaysia,False,M,1951-08-16 00:00:00
1338,1312,2300000000,Kishore Mariwala,88.0,India,Mumbai,Consumer goods,Food & Beverage,India,False,M,1935-02-14 00:00:00
1339,1312,2300000000,Clayton Mathile,82.0,United States,Brookville,Pet food,Food & Beverage,United States,True,M,1941-01-11 00:00:00
1340,1312,2300000000,Mi Enhua,65.0,China,Urumqi,Retail,Fashion & Retail,China,True,M,1958-04-01 00:00:00
1341,1312,2300000000,Vadim Moshkovich,55.0,Russia,Moscow,"Agriculture, land",Food & Beverage,Russia,True,M,1967-04-06 00:00:00
1342,1312,2300000000,David Murdock,99.0,United States,Ventura,"Dole, real estate",Food & Beverage,United States,True,M,1923-04-10 00:00:00
1343,1312,2300000000,David Nahmad,75.0,United States,New York,Art collection,Fashion & Retail,Monaco,True,M,1947-04-14 00:00:00
1344,1312,2300000000,Lirio Parisotto,69.0,Brazil,Manaus,Investments,Finance & Investments,Brazil,True,M,1953-12-18 00:00:00
1345,1312,2300000000,Augusto Perfetti,,Switzerland,Lugano,Candy,Food & Beverage,Italy,False,M,
1346,1312,2300000000,Giorgio Perfetti,,Switzerland,Lugano,Candy,Food & Beverage,Italy,False,M,
1347,1312,2300000000,Alberto Prada,69.0,Italy,Milan,Luxury goods,Fashion & Retail,Italy,False,M,1954-02-21 00:00:00
1348,1312,2300000000,Marina Prada,77.0,Italy,Milan,Luxury goods,Fashion & Retail,Italy,False,F,1945-07-14 00:00:00
1349,1312,2300000000,Filiz Sahenk,56.0,Turkey,Istanbul,Diversified,Diversified,Turkey,False,F,1967-02-14 00:00:00
1350,1312,2300000000,Richard Sands,72.0,United States,Delray Beach,Liquor,Food & Beverage,United States,False,M,1951-03-03 00:00:00
1351,1312,2300000000,Stephan Schmidheiny,75.0,Switzerland,Hurden,Investments,Finance & Investments,Switzerland,False,M,1947-10-29 00:00:00
1352,1312,2300000000,Alberto Siccardi & family,78.0,Switzerland,Lugano,Medical devices,Healthcare,Switzerland,False,M,1944-05-01 00:00:00
1353,1312,2300000000,Stefan Soloviev,47.0,United States,Delray Beach,"Real estate, grains",Real Estate,United States,False,M,1975-05-21 00:00:00
1354,1312,2300000000,Tang Yiu,89.0,Hong Kong,Hong Kong,Fashion retail,Fashion & Retail,Hong Kong,True,M,1934-04-01 00:00:00
1355,1312,2300000000,Tian Ming,69.0,China,Hefei,Measuring instruments,Technology,China,True,M,1953-12-20 00:00:00
1356,1312,2300000000,T.Y. Tsai,70.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,False,M,1953-01-01 00:00:00
1357,1312,2300000000,Jayshree Ullal,62.0,United States,Saratoga,Computer networking,Technology,United States,True,F,1961-03-27 00:00:00
1358,1312,2300000000,Georg von Opel,56.0,United Kingdom,London,"Real estate, investments",Finance & Investments,Switzerland,False,M,1966-05-04 00:00:00
1359,1312,2300000000,Lang Walker,77.0,Australia,Sydney,Real estate,Real Estate,Australia,True,M,1945-07-05 00:00:00
1360,1312,2300000000,Xicheng Wang & family,74.0,China,Zhaoyuan,Tires,Manufacturing,China,True,M,1948-11-01 00:00:00
1361,1312,2300000000,Wang Zhenhua,61.0,China,Shanghai,Real estate,Real Estate,China,True,M,1962-03-01 00:00:00
1362,1312,2300000000,Paul-Heinz Wesjohann & family,79.0,Germany,Rechterfeld,Chicken processing,Food & Beverage,Germany,True,M,1943-05-25 00:00:00
1363,1312,2300000000,Xie Bingkun & family,56.0,China,Fuzhou,Pearlescent pigments,Fashion & Retail,China,True,M,1966-08-25 00:00:00
1364,1312,2300000000,Xu Shugen,57.0,China,Hangzhou,"Construction, mining machinery",Manufacturing,China,True,M,1965-06-12 00:00:00
1365,1312,2300000000,Christoph Zeller,65.0,Liechtenstein,Vaduz,Dental materials,Healthcare,Liechtenstein,False,M,1957-05-04 00:00:00
1366,1312,2300000000,Zhang Jingzhang & family,87.0,China,Ningbo,Precision machinery,Manufacturing,China,True,M,1936-01-01 00:00:00
1367,1368,2200000000,George Argyros & family,86.0,United States,Newport Beach,"Real estate, investments",Real Estate,United States,True,M,1937-02-04 00:00:00
1368,1368,2200000000,Brian Armstrong,40.0,United States,San Francisco,Cryptocurrency,Finance & Investments,United States,True,M,1983-01-25 00:00:00
1369,1368,2200000000,Albert Avdolyan,52.0,Russia,Moscow,"Oil, mining",Energy,Russia,True,M,1970-11-08 00:00:00
1370,1368,2200000000,Sezai Bacaksiz,73.0,Turkey,Ankara,Diversified,Diversified,Turkey,True,M,1949-07-27 00:00:00
1371,1368,2200000000,Aneel Bhusri,57.0,United States,San Francisco,Business software,Technology,United States,True,M,1966-02-04 00:00:00
1372,1368,2200000000,Brett Blundy,63.0,Bahamas,Paradise Island,"Retail, agribusiness",Fashion & Retail,Australia,True,M,1960-01-17 00:00:00
1373,1368,2200000000,J. Hyatt Brown,85.0,United States,Ormond Beach,Insurance,Finance & Investments,United States,False,M,1937-07-12 00:00:00
1374,1368,2200000000,Chen Jinxia,55.0,China,Shanghai,Investments,Finance & Investments,China,False,F,1968-03-28 00:00:00
1375,1368,2200000000,Chen Xueli,71.0,China,Weihai,Pharmaceuticals,Healthcare,China,True,M,1951-10-01 00:00:00
1376,1368,2200000000,Dermot Desmond,72.0,Ireland,Dublin,Finance,Finance & Investments,Ireland,True,M,1950-07-01 00:00:00
1377,1368,2200000000,Dong Wei,52.0,China,Lianyungang,Pharmaceuticals,Healthcare,China,True,M,1971-01-01 00:00:00
1378,1368,2200000000,Tom Ford,61.0,United States,Los Angeles,Fashion,Fashion & Retail,United States,True,M,1961-08-27 00:00:00
1379,1368,2200000000,Fu Guangming & family,69.0,China,Nanping,Poultry,Food & Beverage,China,True,M,1953-10-02 00:00:00
1380,1368,2200000000,Noam Gottesman,61.0,United States,New York,Hedge funds,Finance & Investments,United States,True,M,1961-05-24 00:00:00
1381,1368,2200000000,Jeffrey Gundlach,64.0,United States,Los Angeles,Investments,Finance & Investments,United States,True,M,1959-01-01 00:00:00
1382,1368,2200000000,Hao Hong,67.0,China,Tianjin,Pharmaceuticals,Healthcare,United States,True,M,1956-01-01 00:00:00
1383,1368,2200000000,Shmuel Harlap,78.0,Israel,Tel Aviv,Automotive,Automotive,Israel,False,M,1944-11-13 00:00:00
1384,1368,2200000000,Hans-Werner Hector,83.0,Germany,Weinheim,SAP,Technology,Germany,True,M,1940-01-17 00:00:00
1385,1368,2200000000,Lutz Mario Helmig & family,76.0,Germany,Grebenhain,Hospitals,Healthcare,Germany,True,M,1946-08-29 00:00:00
1386,1368,2200000000,Chulong Huang,64.0,China,Shenzhen,Real estate,Real Estate,Canada,True,M,1959-01-01 00:00:00
1387,1368,2200000000,Thomas James,80.0,United States,Saint Petersburg,Finance,Finance & Investments,United States,False,M,1942-05-10 00:00:00
1388,1368,2200000000,James Jannard,73.0,United States,San Juan Islands,Sunglasses,Fashion & Retail,United States,True,M,1949-06-08 00:00:00
1389,1368,2200000000,Willis Johnson,75.0,United States,Franklin,Damaged cars,Automotive,United States,True,M,1947-05-26 00:00:00
1390,1368,2200000000,Lai Shixian,48.0,China,Quanzhou,Sports apparel,Fashion & Retail,China,True,M,1975-01-01 00:00:00
1391,1368,2200000000,Chris Larsen,62.0,United States,San Francisco,Cryptocurrency,Finance & Investments,United States,True,M,1960-06-15 00:00:00
1392,1368,2200000000,Solomon Lew,78.0,Australia,Melbourne,Retail,Fashion & Retail,Australia,True,M,1945-03-22 00:00:00
1393,1368,2200000000,Liang Xinjun,54.0,Singapore,Singapore,Conglomerate,Diversified,Singapore,True,M,1968-10-01 00:00:00
1394,1368,2200000000,Harald Link,68.0,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,1955-01-12 00:00:00
1395,1368,2200000000,Max Lytvyn,43.0,United States,San Francisco,Software,Technology,Canada,True,M,1980-01-01 00:00:00
1396,1368,2200000000,Igor Makarov,60.0,United States,Miami,Investments,Energy,Cyprus,True,M,1962-04-15 00:00:00
1397,1368,2200000000,Howard Marks,76.0,United States,New York,Private equity,Finance & Investments,United States,True,M,1946-04-23 00:00:00
1398,1368,2200000000,Charles Munger,99.0,United States,Los Angeles,Berkshire Hathaway,Finance & Investments,United States,True,M,1924-01-01 00:00:00
1399,1368,2200000000,Adam Neumann,44.0,United States,Miami,WeWork,Real Estate,Israel,True,M,1979-04-01 00:00:00
1400,1368,2200000000,Thi Phuong Thao Nguyen,52.0,Vietnam,Ho Chi Minh City,Airlines,Diversified,Vietnam,True,F,1970-06-07 00:00:00
1401,1368,2200000000,Ni Yongpei & family,71.0,China,Liuan,Beverages,Food & Beverage,China,True,M,1952-01-23 00:00:00
1402,1368,2200000000,Heloise Pratt,60.0,Australia,Melbourne,"Manufacturing, investment",Manufacturing,Australia,False,F,1962-09-13 00:00:00
1403,1368,2200000000,Qi Xiangdong,52.0,China,Beijing,Software,Technology,China,True,M,1970-10-01 00:00:00
1404,1368,2200000000,Phillip T. (Terry) Ragon,73.0,United States,Boston,Health IT,Technology,United States,True,M,1949-06-01 00:00:00
1405,1368,2200000000,Prathap Reddy,91.0,India,Chennai,Healthcare,Healthcare,India,True,M,1932-02-05 00:00:00
1406,1368,2200000000,Jerry Reinsdorf,87.0,United States,Chicago,Sports teams,Sports,United States,True,M,1936-02-25 00:00:00
1407,1368,2200000000,Chad Richison,52.0,United States,Edmond,Payroll processing,Technology,United States,True,M,1970-10-10 00:00:00
1408,1368,2200000000,"Karl Scheufele, III. & family",84.0,Switzerland,Geneva,Jewelry,Fashion & Retail,Switzerland,True,M,1939-01-01 00:00:00
1409,1368,2200000000,Alice Schwartz,96.0,United States,El Cerrito,Biotech,Healthcare,United States,True,F,1926-07-02 00:00:00
1410,1368,2200000000,Alex Shevchenko,43.0,Canada,,Software,Technology,Canada,True,M,1980-01-01 00:00:00
1411,1368,2200000000,Kavitark Ram Shriram,66.0,United States,Menlo Park,"Venture capital, Google",Technology,United States,True,M,1957-01-21 00:00:00
1412,1368,2200000000,Jeffrey Soffer,55.0,United States,Aventura,Real estate,Real Estate,United States,False,M,1967-12-13 00:00:00
1413,1368,2200000000,William Stone,67.0,United States,East Lyme,Software,Technology,United States,True,M,1955-04-09 00:00:00
1414,1368,2200000000,Henry Swieca,65.0,United States,New York,Hedge funds,Finance & Investments,United States,True,M,1957-05-09 00:00:00
1415,1368,2200000000,Harley Sy,63.0,Philippines,Manila,Diversified,Diversified,Philippines,False,M,1959-06-01 00:00:00
1416,1368,2200000000,Teresita Sy-Coson,72.0,Philippines,Manila,Diversified,Diversified,Philippines,False,F,1950-10-01 00:00:00
1417,1368,2200000000,Katsumi Tada,77.0,Japan,Tokyo,Real estate,Real Estate,Japan,True,M,1945-07-12 00:00:00
1418,1368,2200000000,Tang Jinkui & family,67.0,China,Suzhou,"Textiles, petrochemicals",Manufacturing,China,True,M,1955-09-19 00:00:00
1419,1368,2200000000,Tang Xiao'ou,55.0,China,Shanghai,Software,Technology,Hong Kong,True,M,1968-01-01 00:00:00
1420,1368,2200000000,Lottie Tham & family,73.0,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,False,F,1949-04-18 00:00:00
1421,1368,2200000000,Shamsheer Vayalil,46.0,United Arab Emirates,Abu Dhabi,Healthcare,Healthcare,India,False,M,1977-01-11 00:00:00
1422,1368,2200000000,Radha Vembu,50.0,India,Chennai,Business software,Technology,India,False,F,1972-12-24 00:00:00
1423,1368,2200000000,Wang Wenmo,66.0,China,Quanzhou,Sports apparel,Fashion & Retail,China,True,M,1957-01-01 00:00:00
1424,1368,2200000000,Wang Zhenghua,78.0,China,Shanghai,Budget airline,Service,China,True,M,1944-04-25 00:00:00
1425,1368,2200000000,David Wertheim,65.0,Israel,,Coca-Cola Israel,Food & Beverage,Israel,False,M,1958-01-01 00:00:00
1426,1368,2200000000,Kai Wu,55.0,China,Ningde,Batteries,Energy,China,True,M,1968-01-01 00:00:00
1427,1368,2200000000,Xu Yingzhuo,55.0,China,Guangzhou,Agribusiness,Food & Beverage,China,True,M,1968-01-01 00:00:00
1428,1368,2200000000,Yeung Kin-man,59.0,Hong Kong,Hong Kong,Electronics,Manufacturing,Hong Kong,True,M,1964-04-01 00:00:00
1429,1368,2200000000,Huijiao Yu,57.0,China,Shanghai,Package delivery,Logistics,China,True,M,1966-04-01 00:00:00
1430,1368,2200000000,Oren Zeev,58.0,United States,Los Altos,Investments,Finance & Investments,Israel,True,M,1964-09-23 00:00:00
1431,1368,2200000000,Clayton Zekelman,54.0,Canada,Windsor,Steel,Manufacturing,Canada,False,M,1969-01-01 00:00:00
1432,1368,2200000000,Zhao Fenggang,57.0,China,Ningde,Batteries,Energy,China,True,M,1966-01-01 00:00:00
1433,1434,2100000000,Alex Beard,55.0,United Kingdom,London,"Mining, commodities",Metals & Mining,United Kingdom,True,M,1967-08-03 00:00:00
1434,1434,2100000000,Travis Boersma,52.0,United States,Grants Pass,Coffee,Food & Beverage,United States,True,M,1971-01-01 00:00:00
1435,1434,2100000000,Martin Bouygues,,France,Paris,"Construction, media",Construction & Engineering,France,False,M,
1436,1434,2100000000,Olivier Bouygues,72.0,,,"Construction, media",Construction & Engineering,France,False,M,1950-09-14 00:00:00
1437,1434,2100000000,William Boyd & family,91.0,United States,Las Vegas,"Casinos, banking",Gambling & Casinos,United States,True,M,1931-11-04 00:00:00
1438,1434,2100000000,Anand Burman,70.0,India,Delhi,Consumer goods,Food & Beverage,India,False,M,1952-05-05 00:00:00
1439,1434,2100000000,Cao Ji,71.0,China,Hangzhou,Manufacturing,Manufacturing,China,True,M,1952-01-01 00:00:00
1440,1434,2100000000,Bruce Cheng,86.0,Taiwan,Taipei,Electronics,Technology,Taiwan,True,M,1936-11-03 00:00:00
1441,1434,2100000000,Chi Yufeng,52.0,China,Beijing,Software,Technology,China,False,M,1971-01-01 00:00:00
1442,1434,2100000000,Daniel Chiu,62.0,Hong Kong,Hong Kong,Oil & gas,Energy,Hong Kong,True,M,1960-11-30 00:00:00
1443,1434,2100000000,Beda Diethelm,82.0,Switzerland,Zurich,Hearing aids,Healthcare,Switzerland,True,M,1941-01-01 00:00:00
1444,1434,2100000000,Domenico Dolce,64.0,Italy,Milan,Luxury goods,Fashion & Retail,Italy,True,M,1958-08-13 00:00:00
1445,1434,2100000000,Ralph Dommermuth,59.0,Germany,Montabaur,Internet service provider,Technology,Germany,True,M,1963-11-19 00:00:00
1446,1434,2100000000,Georgi Domuschiev,50.0,United Kingdom,London,"Animal health, investments",Diversified,Bulgaria,True,M,1972-08-06 00:00:00
1447,1434,2100000000,Kiril Domuschiev,53.0,United Kingdom,London,"Animal health, investments",Diversified,Bulgaria,True,M,1969-04-18 00:00:00
1448,1434,2100000000,Bob Ell,78.0,Australia,Surfers Paradise,Real estate,Real Estate,Australia,True,M,1944-12-22 00:00:00
1449,1434,2100000000,Paul Foster,65.0,United States,El Paso,Oil refining,Energy,United States,True,M,1957-10-08 00:00:00
1450,1434,2100000000,Stefano Gabbana,60.0,Italy,Milan,Luxury goods,Fashion & Retail,Italy,True,M,1962-11-14 00:00:00
1451,1434,2100000000,Xingjiang Gao,59.0,China,Huzhou,Steel,Manufacturing,China,True,M,1963-11-01 00:00:00
1452,1434,2100000000,Gordon Getty,89.0,United States,San Francisco,Getty Oil,Energy,United States,False,M,1933-12-20 00:00:00
1453,1434,2100000000,Kamal Ghaffarian,64.0,United States,Naples,"Space, energy",Energy,United States,True,M,1958-04-28 00:00:00
1454,1434,2100000000,Dennis Gillings,78.0,United States,Durham,Clinical trials,Healthcare,United Kingdom,True,M,1944-04-25 00:00:00
1455,1434,2100000000,Harsh Goenka,65.0,India,Mumbai,Diversified,Diversified,India,False,M,1957-12-10 00:00:00
1456,1434,2100000000,Sanjiv Goenka,62.0,India,Kolkata,Diversified,Diversified,India,False,M,1961-01-29 00:00:00
